Epoch 134, Loss: 0.28642767667770386
Epoch 135, Loss: 0.28209348022937775
Epoch 136, Loss: 0.28155870735645294
Epoch 137, Loss: 0.2860530763864517
Epoch 138, Loss: 0.28170067071914673
Epoch 139, Loss: 0.28974319994449615
Epoch 140, Loss: 0.2878243923187256
Epoch 141, Loss: 0.28385207056999207
Epoch 142, Loss: 0.28234125673770905
Epoch 143, Loss: 0.2794204354286194
Epoch 144, Loss: 0.2808963507413864
Epoch 145, Loss: 0.2840278446674347
Epoch 146, Loss: 0.2897605448961258
Epoch 147, Loss: 0.28103071451187134
Epoch 148, Loss: 0.28000085055828094
Epoch 149, Loss: 0.27951034903526306
Epoch 150, Loss: 0.2764805257320404
Epoch 151, Loss: 0.2836625427007675
Epoch 152, Loss: 0.28531184792518616
