Using Device:  cuda
Epoch 1, Loss: 0.5354216609682355
Epoch 134, Loss: 0.2687842164720808
Epoch 135, Loss: 0.2694346862179892
Epoch 136, Loss: 0.27235228036131176
Epoch 137, Loss: 0.267998497400965
Epoch 138, Loss: 0.2683361619710922
Epoch 139, Loss: 0.26671838547502247
Epoch 140, Loss: 0.2680306008883885
Epoch 141, Loss: 0.266155617577689
Epoch 142, Loss: 0.2665020866053445
Epoch 143, Loss: 0.2663162073918751
Epoch 144, Loss: 0.2677296740668161
Epoch 145, Loss: 0.26560248328106745
Epoch 146, Loss: 0.2687083440167563
Epoch 147, Loss: 0.2659614916358675
Epoch 148, Loss: 0.26639471309525625
Epoch 149, Loss: 0.26645890729767935
Epoch 150, Loss: 0.2660224884748459
Epoch 151, Loss: 0.26321195172412054
Epoch 152, Loss: 0.2646870655672891
