Epoch 134, Loss: 0.2329560232659181
Epoch 135, Loss: 0.23439415047566095
Epoch 136, Loss: 0.232151477287213
Epoch 137, Loss: 0.2327712575594584
Epoch 138, Loss: 0.23275962099432945
Epoch 139, Loss: 0.2339592588444551
Epoch 140, Loss: 0.23403210068742433
Epoch 141, Loss: 0.23268302530050278
Epoch 142, Loss: 0.23475968216856322
Epoch 143, Loss: 0.23236806814869246
Epoch 144, Loss: 0.2328651857872804
Epoch 145, Loss: 0.23386227463682493
Epoch 146, Loss: 0.2322879433631897
Epoch 147, Loss: 0.23282492284973463
Epoch 148, Loss: 0.23306449999411902
Epoch 149, Loss: 0.2323487550020218
Epoch 150, Loss: 0.23279008517662683
Epoch 151, Loss: 0.23307354003190994
Epoch 152, Loss: 0.23243595659732819
